k,rho_g,rho_chi,Zg,Zchi
2,-0.019570756983643387,-0.4665311321420596,-0.36425989611710746,0.6296642793021864
3,-0.004364384235824626,0.02711377175004225,0.8747554361890575,1.8068189662261538
4,-0.0042279110931359165,0.004913814849265524,-1.3024611332900728,-0.7838620145635322
5,-0.003878361022613475,-0.003979109785117482,-0.9809142665869099,-1.3341124686524644
6,0.006030975729321789,0.005254305589535737,-0.0626317407319554,0.13860563005612536
7,0.0042035121580255115,0.0001487337954736167,0.8483817579917668,-0.5531954342248487
8,0.001359579413195445,-0.003934327231746635,0.4968771079835367,-0.5600066898024805
9,0.007948541291367807,0.008843605478871024,2.877347066663536,2.3255894427795933
10,0.006456726413563304,0.001250602134049256,2.243573671133495,0.7980635190237594
11,-7.608378656063024e-05,-0.007683254254895174,0.8044640263005836,-1.560081785682168
12,0.008490095647175315,0.001394918621277738,0.9862320069052342,-1.1680352691944933
13,0.005028024258461654,0.000981509532396828,1.2891628937845008,0.48732245234577964
14,0.005964368172544799,-0.0009595300332745915,1.6812762716048202,0.1975734721766565
15,0.008505064679833824,0.0023547218399746,0.8615411732816785,-0.02048345492624845
16,0.0038657058108635353,0.00037467237935889336,2.0145198362195798,1.1110853711908715
17,0.007627635059950596,-0.0015520769455358745,1.7508131056033802,-1.056385925094933
18,0.0020410805302954246,-0.003200127759098782,0.0728689829138974,-2.133761975095515
19,0.009187990755163248,0.002272670511425299,3.0546413925319245,1.3612265356551065
20,0.00550974723857288,0.0019115667172181488,3.146951401928832,1.091288789513374
21,0.0059146217809553855,-0.003099789953118543,1.4706078265167353,-1.0519658397262184
22,0.008893610786031117,0.0015311510487056779,2.8934817286701118,0.10141949979787183
23,0.008043198291119531,0.00410221393226399,3.222001640862573,1.423078896586965
24,0.008646621462991003,-0.0009511603612679901,3.298903208513112,0.10130742498108765
25,0.0010582848504381826,-0.007310942958446165,0.12476825767835399,-1.8167884197842226
26,0.010268061656370824,0.0020320844248267224,3.3977192700393406,-0.08180735061350033
27,0.008178740409536499,0.003998919733819188,1.9394239766422412,0.40216808579611185
28,0.007843463649942454,0.0016805712846553911,4.954038271628981,1.554828928838172
29,0.010826278557032817,0.002338656095212134,3.383960666292532,0.7148929690787458
30,0.0034525763205848674,-0.007520434131883326,0.6583294872254116,-3.0191796123327954
31,0.007243693216370726,-0.000519645928426576,2.7662886144427024,0.06348538267998807
32,0.013819352515086045,0.007957084922445009,4.390791713796891,3.1964890610123824
33,0.0025489764692719903,-0.0049858478267146055,1.0283093618677825,-1.624758263347333
34,0.006009302618337306,-0.0038042828154086937,2.269895166137452,-1.576276625945401
35,0.009808707252346846,0.0038674936632829156,3.5209283855829914,1.5204019433906528
36,0.007079599069446534,0.0016881399095263142,2.6299320972609936,0.6015961752550549
37,0.007086427273068408,0.0005414858126834464,2.7421533044353508,-0.08668358118033032
38,0.006963324047765496,-0.0022881955758058997,3.001903337367135,-0.6684928958735735
39,0.006065921411654043,-0.0009603801529206543,2.693100739860879,-0.305853390189071
40,0.006397839552135848,0.0006132343343594669,3.8705322966291447,0.2893518895541455
41,0.008047452087406072,1.3829919188244665e-05,3.146722243121815,0.08250619977796256
42,0.005904807584909057,-0.0008223508369047059,2.5179156509635394,-0.4252759294394135
43,0.009192208782704128,0.0028490175179997387,3.376994209709865,0.8980896792512221
44,0.004541794480292638,-0.0025657338408808473,1.6083572508226325,-0.7133945069947364
45,0.008105947797102317,-0.00282955442136952,3.515979143416246,-1.0079761666518496
46,0.008747217665350937,0.004113555927980396,4.433126766713286,1.4102566998466561
47,0.010748512194830365,0.002026691427909968,4.621561710877632,0.8242709114024953
48,0.006463695902684191,-0.0007749826729635729,2.3468628514531784,-0.0861058456109003
49,0.008817140037373345,0.00016150696105638628,5.2146614831327325,-0.060964076407832225
50,0.006443991439183049,-0.0004906281068747508,1.8497388637479877,-0.5954299612844453
51,0.0069687785990022654,0.0009396972319389781,3.009479376889105,0.380338421575745
52,0.007689712976909012,-0.0024159418105318487,4.064664542611218,-0.41558566615450304
53,0.002638770645177485,-0.004579391432204989,1.0012905218004564,-1.4266349443252142
54,0.012401333605348563,0.0023586255737391005,3.888242845318968,0.673431310726516
55,0.007979443706994813,0.0028624249171709595,3.1745465411459257,1.0872677604906247
56,0.007053032260813355,-0.0018154997631082464,2.2093323447565396,-0.8399054845729733
57,0.009214709153883545,0.0010417570871423124,3.4682611013327707,-0.44138970400188954
58,0.008477545513623822,-0.000916905348438592,3.5898658869198594,-0.12425682027249209
59,0.007682028815743374,0.0005331987288521032,3.0726511738399993,0.6982534827821951
60,0.011098854171298389,0.0032784072639107757,4.7732843154570865,0.7602895375808236
61,0.007706540272129499,-0.0004282971176706313,2.5120159941041518,-0.3006442723392829
62,0.007271318765543537,-0.0022567545579944247,3.5951361941019386,-0.38171690549140863
63,0.005740389923975666,-0.002032692452057707,2.781838276478045,-0.7760165735804363
64,0.007384195756781105,0.001388801347164499,2.403059810425058,0.3714908319743766
65,0.011395701865517107,0.0018412507558719603,5.764750434005149,0.9578303726388412
66,0.007539581920144698,0.0019228792260960865,2.5321717156121353,0.34887580431550225
67,0.008476101896886397,0.0005528825878339155,2.7996024193490916,-0.1790669957255626
68,0.0032253480856556035,-0.004830223510470043,1.212314025093615,-1.1646561453152757
69,0.008233098989711553,-0.0017214638839135338,4.1630095590841485,-0.22571380243118164
70,0.006918021088187878,0.005071851763119523,2.2137638553805083,1.3592756019547387
71,0.010721118352237323,0.001454267489723801,4.4529908357621455,0.22922138309548418
72,0.0040440839240166344,-0.003704602977908369,1.5800762370390329,-1.1317266085785482
73,0.005695097233719129,-0.0020898847538297666,2.2962031767679227,-0.5149972855097754
74,0.006255937771155541,-0.001357870013495276,2.4832921901335996,-0.5263821538230675
75,0.009223403743319087,-6.738870193867364e-05,3.1575126362372887,-0.32039670785835833
76,0.007374520795069842,0.0045955456321979445,2.7316245465704365,1.4870175184489502
77,0.013704643342333954,0.007142226992701488,4.977602905065149,2.241877568584506
78,0.004047028050819372,-0.004053010402605177,1.8227928550524028,-1.8940729548253654
79,0.0036906043343874493,-0.006445282736359643,1.6434251802645758,-2.0532403240791104
80,0.005215476023999343,0.0012368028044153919,2.20263090304765,0.7028876501990695
81,0.00580217001756783,0.0005765792459157298,2.087624179552296,-0.006795628902744122
82,0.0063365565981558245,-0.0018771385100228917,2.5116614687716017,-0.5664238912438626
83,0.006287045897414406,-0.0026569225290185533,2.9012692968763187,-0.6967359870263622
84,0.011326166007466493,0.00381115387112188,4.898450403049697,1.2862938784323665
85,0.011491624664933829,0.0041135758691719084,3.9901071237494503,1.1745042481924886
86,0.0076052465529115225,-0.002258604720480609,2.847941313090446,-0.5554756129056148
87,0.010364797421475412,0.000333474306191825,3.7396905600460086,0.3041703925131788
88,0.010200101496733754,0.0034407555455011423,4.205594478305538,0.9724177201242147
89,0.01010307004124519,0.0003972186717275325,4.741845598804339,0.10173660148761157
90,0.005293337960789508,-0.0026342346891464106,2.3287791130774473,-0.8537875347414977
91,0.005155893685303694,-0.0029593546260989925,2.3864765716534984,-0.9812431045422584
92,0.005375222064456261,-0.001264177180868307,1.8192978904755706,-0.555771469841507
93,0.00924766300278975,0.0025546130893543415,2.8699710716532896,0.6835283998875018
94,0.009163137316662604,-0.001502431428837234,4.127684020932009,-0.3208268602337883
95,0.0066492372564212554,-0.002819647461153063,2.0815477849083934,-0.6936028510826748
96,0.012707200737202991,0.004000172997168375,4.7608318788208255,1.30281621834312
97,0.013719964124132471,0.0066342741063565875,4.940208373586569,1.9073215900451728
98,0.008233693194852214,-0.0006594157828410738,3.40653702856549,-0.0877459993665472
99,0.006473854844040616,-0.002874232690534723,3.7211103034820674,-0.8843833734243284
100,0.007619761491540979,-0.0013196751228256069,3.116826024781994,-0.4620636846401174
101,0.0022194853065285497,-0.0038326055186967086,0.6486525568799176,-1.6376934365175688
102,0.008221867540349127,0.0002950813711895986,3.250760144898437,0.1338348234154479
103,0.006950975826479716,0.00021396632120363647,3.9528218136159534,0.5194223882718654
104,0.007921981560190756,-0.002533628766820687,3.1407430146079736,-0.8320880471609269
105,0.008973517943161266,0.003074450029807852,3.2643652228204805,0.8335915686935768
106,0.012021216978389078,0.0046895128159397045,4.251676285887576,1.4522967303811585
107,0.006241945734836666,-0.000388772167725622,3.44682830441963,-0.12971072875122303
108,0.007550967041261334,-0.0019442590892279482,3.28410956770432,-0.6336563426248948
109,0.0031896584613007786,-0.0072314425050548714,1.5029101920194092,-2.2557854827094186
110,0.009513041269510527,0.0043078398705780245,4.077780716741525,1.4494920077016669
111,0.014365913196998415,0.010203970498433421,5.673560995225094,3.017158308029169
112,0.005405346299422259,-0.006676204314664522,2.8284609355119965,-2.6243045269190843
113,0.006139314136436053,-0.005774908030870371,3.3317394234166393,-1.8938229963299245
114,0.011401283761006957,0.004049087479290231,4.8215095272534345,1.3262004943579353
115,0.00902671739566655,0.0016012114424770955,4.33784801809587,0.5239506558469362
116,0.010798854638462217,0.0013713107652270668,3.576838478613447,0.35953303590725544
117,0.008135089124884974,0.0022900380782337514,3.443700675974688,0.5303682768172361
118,0.004835688168516345,-0.0026933236312676957,2.1455855711868805,-0.6833312299056851
119,0.002584294851193908,-0.0057025565703516905,1.3141322201530572,-1.7729861790311094
120,0.0069242399368899055,0.0010912269537097577,3.2164115309930787,0.21160692981458312
121,0.008223513223076618,0.006903903173775894,3.6508747878756043,2.8021225713672755
122,0.006543167274301227,-0.002007470485557661,2.2894533887506294,-0.8029084311245843
123,0.00302397708275105,-0.008374389464874975,1.139632770722478,-2.7344290981694566
124,0.00847714576661562,0.0030101165687651385,3.999269532467018,1.34319052963959
125,0.012378435444677606,0.00819000732429723,5.122172731338678,2.9343947244747257
126,0.0048784486134277405,-0.0024004620176633442,1.9015719006841714,-0.95310456389156
127,0.0072850715298745225,-0.005798883252168575,2.858184039281161,-1.9994822094158173
128,0.0070288760841519535,-0.0007858793033128737,2.554476646489701,-0.3236169769712953
129,0.011533411918788752,0.0027958479151923748,4.336109433406651,0.7700055155133895
130,0.008238067458545736,0.001572824054886311,3.5432066512057188,0.7159723962604717
131,0.00855465814454428,-0.0003834355443179173,3.8977014534077328,0.05536670678510335
132,0.005860643169138407,-0.0034382296681873007,2.030540812260377,-1.2904026505243216
133,0.008284678134512202,0.0018620160563246448,3.7377213256459267,0.9682812567445959
134,0.01049713016231087,0.002917968030736334,4.735756845964349,0.736716462698624
135,0.0014917183244478104,-0.004025403090915892,0.9248230866679712,-1.2493501145076376
136,0.009823206166641058,-0.001655991392062252,3.170684769201466,-0.08126229776603629
137,0.007120810823432136,0.001440511914283554,2.8060911183887094,0.3659947180724828
138,0.010649513717560611,0.0013464689673868809,4.403741250729179,0.11928185861078548
139,0.009509153016401855,0.0009599369387039556,3.6967173545014256,0.461791480541381
140,0.010144235940000586,0.0010975570066017921,3.7585801299203156,0.44998276453171043
141,0.009795811804445897,0.001031131401929357,3.657942195880244,0.12827807844778125
142,0.006744913992222684,-0.002420480790319075,2.583988792351114,-0.6398481296984799
143,0.007420006564928147,-0.0029841906109086395,2.6500653628339528,-0.7896307720646206
144,0.00711359871845822,0.0005176818350409385,2.9096820335433957,0.166134519864984
145,0.009749942270915267,0.003081686016418832,3.023274178248148,0.6971186439599781
146,0.007568931705263007,0.003353192258099998,3.5987970573351213,0.8844836217190871
147,0.0069626124586481325,-0.00047939926741127453,2.7991973980421214,0.06390692907919361
148,0.005634174738763253,-0.0030349534292019474,1.8754522912894065,-0.7468367156787747
149,0.003213930410496383,-0.0019110162910771077,1.1959515272971566,-0.627824132539812
150,0.00589890975324225,-0.001626768166649247,1.7689081660473567,-0.5114056117311019
