k,rho_prime,block_mean,block_std,z
2,-0.019452183266227302,-0.018712600705200498,0.0004444068189511462,-1.6642016492283087
3,-0.006203541698149586,-0.005974003632447584,0.0006839593676615279,-0.3356019034972754
4,-0.003737262085586739,-0.002794934569772089,0.0005272708274393761,-1.7871793142642538
5,-0.0022049310315032486,-0.0014890263558189453,0.0007392994155424618,-0.9683555277248629
6,0.0034176053395645104,0.0030303384142368675,0.0006813062732311036,0.5684182584889828
7,0.0006288879353694629,4.674099656131139e-06,0.0007176187752302593,0.8698404462913376
8,0.0011053633830128964,0.001375832034172598,0.0009367222119228265,-0.28873944454088013
9,0.003167522215765654,0.0020945768180222145,0.0008222142822979149,1.3049461932779665
10,0.0013285164789402929,-0.000224101847533425,0.0012379862665798458,1.2541482635046495
11,0.0029391089694900834,0.0020748686161264547,0.0009146787888404735,0.9448566687101329
12,0.007678089776506936,0.004328668379089857,0.0009450359445303482,3.544226456996439
13,0.004820574048205017,0.0036929965621380558,0.001087249169992598,1.0370920642548178
14,0.0047793315784976816,0.0035440036495308484,0.001247491708527458,0.9902494104950943
15,0.0076606596342446215,0.005213852094816304,0.001045838062709978,2.3395663503469595
16,0.0048132353647694194,0.0018666197175740181,0.0009466094733826062,3.1128102243325224
17,0.004444800333804193,0.0025490268704289796,0.0012838356864657504,1.4766480503389465
18,0.0051881451317816,0.0027118957366558368,0.0012877568059700554,1.9229169542306768
19,0.0076785804321589475,0.002267071943479995,0.0014117023303997676,3.8333212123737974
20,0.003981921315438975,7.792387448927153e-06,0.0013101865982150182,3.0332541436497293
21,0.004920425443205724,0.0024201827125623398,0.0013658743978479059,1.83050706169089
22,0.005835407367033204,0.002116083268600419,0.0013406091864624236,2.7743537311177713
23,0.005956803519520153,0.0017120706919544154,0.0015163299137610801,2.7993464938228194
24,0.005442032116296833,0.0021646442468433178,0.0014593635952198732,2.245765126791265
25,0.0034928937142932014,0.0004634044530832423,0.0016235277317680756,1.8659916932313465
26,0.00752648244332001,0.001835101587988611,0.0011523223037841692,4.939052933924118
27,0.009381768243957719,0.0019142862710259145,0.0014229596815628263,5.247852113933631
28,0.007604581235525957,0.00021132351521606902,0.0013204553356786766,5.599021428854285
29,0.007528435971788971,-0.0004124445472476435,0.0014862233973705855,5.342992536038362
30,0.0021846506419603514,0.00044653093758459546,0.0014441293321904233,1.2035762072219767
31,0.006572256035498074,0.0002777551166510821,0.0015649867623675007,4.022079336520851
32,0.007549296940435127,0.0001798832482425696,0.0016441155265512141,4.482296756634273
33,0.004205914115014285,-0.0003135978283551088,0.0019982102583196177,2.261779972629131
34,0.00732011814880295,-7.788446362041746e-05,0.0015589891750710445,4.745384208383765
35,0.00504152349751248,-5.91946159338773e-05,0.0015237002480356283,3.3475863248183235
36,0.007024475667676085,-0.00042485532478067146,0.0016878359804580493,4.413539632230815
37,0.005236306848468481,0.0001351883467240908,0.001463987731920649,3.484399759998044
38,0.005426321174262468,0.0002630393408975954,0.0014122706329717217,3.656014444271361
39,0.005119904495566447,4.598110614490554e-05,0.0015110885318162749,3.3577935922277597
40,0.008419120722109848,0.0007086384224138545,0.0012967858183503297,5.9458410098166175
41,0.004594396651713104,0.00013469087079528508,0.0016932170558123353,2.6338653781031267
42,0.005651041044984322,-0.00030444999615162656,0.0017900037966037056,3.327082910346727
43,0.007675232491786302,-0.0002687166195348432,0.0015143497822596454,5.245782186112602
44,0.003521955185787732,-0.00024176576649848674,0.001444790208382296,2.605029387969334
45,0.008171555346852611,-0.00010794918257512251,0.0016032292245603814,5.16426746880069
46,0.006834009766695001,0.00040306966620539184,0.0016319163057751719,3.940729115660663
47,0.006143470382339163,2.1775185081560643e-05,0.0018521423163859285,3.305196983568099
48,0.006584293070191381,-0.0005936000583968275,0.0013482092018356373,5.324020277279845
49,0.007770173651220662,-0.00020502725870255768,0.0016576547242259198,4.811135149780618
50,0.004615036888381128,-0.0003680092282146522,0.00138954256175415,3.5861054232877994
51,0.005075559097992138,0.0004662316996576346,0.0016333804771419289,2.8219557309757084
52,0.006906730594087845,-6.0109673281620373e-05,0.0017020460301330775,4.093214956604171
53,0.006094985771930405,-0.0005843784793048578,0.0014520647830500533,4.599907889237076
54,0.01001819626313639,0.00010889802796713929,0.001664255889482964,5.95419147847978
55,0.006857005457874919,0.00039327891433494185,0.0016454043020266863,3.928351552003627
56,0.007474985889753402,7.233183328267257e-05,0.0013925246262018378,5.315995076267873
57,0.006874184084601955,-3.3677160347820133e-06,0.0014709668731087684,4.6755313979991895
58,0.007947636490221746,0.0002856404554800777,0.001547493259973938,4.951230634032427
59,0.004854121298544603,5.646366666207152e-05,0.0015560657111076458,3.083197321061359
60,0.007192303938519224,-2.663669196043329e-05,0.0016265240336736514,4.438262503982205
61,0.006542503303757294,5.664249678634786e-06,0.00134662872113395,4.854225185821234
62,0.008585219768063328,-0.0001260935921490188,0.00213554852827327,4.079192415850184
63,0.002353101753214689,-0.0006850187066433709,0.0017737298246758076,1.7128428566697584
